CUSTOMER_SUMMARY_FUNDS_UNDER_MANAGEMENT,NUM_ACCOUNTS_WITH_INVESTMENT_OBJECTIVE_SECURE_GROWTH,NUM_ACCOUNTS_WITH_INVESTMENT_OBJECTIVE_INCOME,CUSTOMER_SUMMARY_AVERAGE_SENTIMENT_SCORE,CUSTOMER_INTERNET_BANKING_INDICATOR,CUSTOMER_SUMMARY_TOTAL_AMOUNT_OF_DEPOSITS,CUSTOMER_SUMMARY_NUMBER_OF_ACCOUNTS,NUM_ACCOUNTS_WITH_INVESTMENT_OBJECTIVE_GROWTH,CUSTOMER_FAMILY_SIZE,TARGET,CUSTOMER_SUMMARY_TOTAL_AMOUNT_OF_DEPOSITS_mean,CUSTOMER_SUMMARY_TOTAL_AMOUNT_OF_DEPOSITS_std,CUSTOMER_SUMMARY_TOTAL_AMOUNT_OF_DEPOSITS_std_norm,CUSTOMER_SUMMARY_TOTAL_AMOUNT_OF_DEPOSITS_current_vs_mean,CUSTOMER_EMPLOYMENT_STATUS_Homemaker,CUSTOMER_EMPLOYMENT_STATUS_Retired,CUSTOMER_EMPLOYMENT_STATUS_Selfemployed,CUSTOMER_EMPLOYMENT_STATUS_Unemployed,CUSTOMER_MARKET_GROUP_Gifting,CUSTOMER_MARKET_GROUP_Spending,CUSTOMER_MARKET_GROUP_Starting,CUSTOMER_EDUCATION_LEVEL_High School,CUSTOMER_EDUCATION_LEVEL_PhD,CUSTOMER_EDUCATION_LEVEL_Professional,CUSTOMER_EDUCATION_LEVEL_University,CUSTOMER_GENDER_Male,CUSTOMER_AGE_RANGE_30 to 40,CUSTOMER_AGE_RANGE_40 to 55,CUSTOMER_AGE_RANGE_55 to 65,CUSTOMER_AGE_RANGE_65 and over,CUSTOMER_MARITAL_STATUS_Married,CUSTOMER_MARITAL_STATUS_Single,CUSTOMER_URBAN_CODE_Rural,CUSTOMER_URBAN_CODE_Urban
750000.0,0.0,0.0,1,0,1417.0805320054828,2,0.0,2,1,1205.8958877494144,682.3495644068831,0.5658445072570607,1.1751267637625054,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1
150000.0,0.0,0.0,0,0,766.447177275329,3,0.0,4,1,1083.5733739357722,460.61937566711185,0.42509292563552287,0.7073329741311634,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
180000.0,0.0,0.0,0,0,1126.9657522658204,3,0.0,2,1,1303.866785395214,323.28454909956577,0.24794292846533034,0.8643258382597933,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
1250000.0,0.0,0.0,0,1,1172.303937574556,2,0.0,2,1,1291.9628905900756,460.11270350434376,0.35613461257714407,0.907382051073566,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1250000.0,0.0,0.0,2,1,2235.9626161625483,2,0.0,2,1,1793.042669421516,733.2190599470467,0.40892449044930035,1.2470214202342047,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
80000.0,0.0,0.0,3,0,428.1738070678039,2,0.0,2,1,660.0574743286267,334.33184129309615,0.5065192870259665,0.6486917029510472,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
100000.0,0.0,0.0,1,0,843.6246496410239,3,0.0,4,1,1199.3570147940538,189.1691335019931,0.15772545719797706,0.7033974364888222,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
100000.0,0.0,0.0,1,0,633.2735379542527,3,0.0,4,1,1192.235442380092,423.6519937762566,0.35534255962942063,0.53116483157893,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
100000.0,0.0,0.0,3,0,1743.3205112048065,3,0.0,4,1,1510.637756129592,581.3233595137547,0.38481982669568937,1.1540294846538004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
180000.0,0.0,0.0,0,1,1344.4758181206075,4,0.0,2,1,2118.421222313602,887.5324682150272,0.4189593924317478,0.6346593415695951,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
